Date,Time,Open,High,Low,Close,Volume
20170508,0:00:00,1555.1,1614.5,1544.2,1593.3,252
20170508,1:00:00,1593.3,1627.5,1556.3,1593.4,296
20170508,2:00:00,1594.2,1623.5,1574,1594.8,292
20170508,9:00:00,1620.3,1637.1,1593.9,1606.2,248
20170508,10:00:00,1608.1,1625.7,1598.3,1610,240
20170508,11:00:00,1610,1617.2,1593,1598.5,240
20170508,13:00:00,1600.9,1635.8,1593.3,1604.4,240
20170508,14:00:00,1605.8,1620.6,1591.2,1593.5,240
20170508,15:00:00,1593.2,1632.5,1577.8,1612.3,244
20170508,16:00:00,1612.4,1632.4,1597.7,1610.9,244
20170508,17:00:00,1611,1635.3,1596.6,1621.9,240
20170508,18:00:00,1621.9,1648.4,1592.3,1622,240
20170508,19:00:00,1622,1651,1606.9,1613.9,240
20170508,20:00:00,1613.2,1676.8,1610.6,1657.4,240
20170508,21:00:00,1657.3,1678.9,1623.7,1631.6,240
20170508,22:00:00,1632,1685.1,1622.6,1639.3,244
20170508,23:00:00,1639.3,1699.9,1632.3,1668.5,244
20170509,2:00:00,1667.3,1709.1,1653.4,1698.2,252
20170509,3:00:00,1699.5,1714.5,1651.3,1674.1,240
20170509,4:00:00,1674.3,1698,1672.6,1695.4,240
20170509,5:00:00,1695.2,1703.1,1688.4,1691.2,240
20170509,8:00:00,1704.4,1736.5,1701.3,1732,240
20170509,9:00:00,1732,1740.4,1714.2,1724.9,240
20170509,10:00:00,1724.8,1736.1,1709.4,1724.8,240
20170509,11:00:00,1724.7,1752.6,1716.4,1746.3,240
20170509,21:00:00,1711.4,1725,1669.8,1709.3,240
20170509,22:00:00,1709.8,1735.7,1701.9,1731.8,240
20170509,23:00:00,1731.7,1735.8,1708.3,1719,240
20170510,0:00:00,1718.9,1732.3,1710.2,1727.7,248
20170510,1:00:00,1728.6,1733.8,1718.7,1728.3,240
20170510,2:00:00,1728.1,1736.8,1718.8,1734.7,240
20170510,7:00:00,1728.3,1736.8,1719.3,1725,312
